,AGGAGG,TATAAT,Y
Actinomyces gaoshouyii pika_114,2218,1,0
Actinomyces meyeri W712,983,14,0
Actinomyces naeslundii ATCC 27039,2315,13,0
Actinomyces oris T14V,2316,11,0
Actinomyces radicidentis CCUG 36733,3364,1,0
Actinomyces sp. Chiba101 Chiba101,2729,8,0
Actinomyces sp. Marseille-P2985 Marseille-P2985,445,10,0
Actinomyces sp. VUL4_3 VUL4_3,275,37,0
Actinomyces sp. oral taxon 414 F0588,2798,28,0
Haemophilus ducreyi 35000HP 35000HP,64,667,0
Haemophilus influenzae 10810 10810,60,563,0
Haemophilus influenzae 2019 2019,0,0,0
Haemophilus influenzae 477,3,1,0
Haemophilus influenzae 723,3,4,0
Haemophilus influenzae 86-028NP 86-028NP,63,531,0
Haemophilus influenzae C486,61,6,0
Haemophilus influenzae CGSHiCZ412602 CGSHiCZ412602,64,540,0
Haemophilus influenzae F3031 F3031,71,604,0
Haemophilus influenzae F3047 F3047,71,625,0
Haemophilus influenzae FDAARGOS_199,59,558,0
Haemophilus influenzae Hi375,64,542,0
Haemophilus influenzae KR494 KR494,44,520,0
Haemophilus influenzae NCTC8143,64,564,0
Haemophilus influenzae NML-Hia-1,58,517,0
Haemophilus influenzae PittEE PittEE,53,546,0
Haemophilus influenzae PittGG PittGG,135,518,0
Haemophilus influenzae R2846 R2846,50,572,0
Haemophilus influenzae R2866 R2866,63,562,0
Haemophilus influenzae Rd KW20 ,43,227,0
Haemophilus parainfluenzae T3T1 T3T1,62,443,0
Haemophilus parasuis SH0165 SH0165,77,591,0
Haemophilus parasuis ZJ0906 ZJ0906,8,5,0
Haemophilus pittmaniae NCTC13334,142,396,0
Propionibacterium freudenreichii ,15,0,0
Propionibacterium freudenreichii P.UF1,636,2,0
Propionibacterium freudenreichii subsp. freudenreichii DSM 20271,24,0,0
Propionibacterium freudenreichii subsp. shermanii ,646,3,0
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 CIRM-B1AI,662,3,0
Propionibacterium sp. oral taxon 193 F0672,27,4,0
Rothia aeria JCM 11412,0,0,0
Rothia dentocariosa ATCC 17931 ATCC 17931,318,150,0
Rothia mucilaginosa DY-18 DY-18,639,48,0
Rothia mucilaginosa FDAARGOS_369,639,41,0
Rothia mucilaginosa NUM-Rm6536,628,47,0
Streptococcus acidominimus NCTC11291,409,857,0
Streptococcus agalactiae ,2,0,0
Streptococcus agalactiae 09mas018883 09mas018883,316,1314,0
Streptococcus agalactiae 138P 138P,267,1129,0
Streptococcus agalactiae 138spar,270,1122,0
Streptococcus agalactiae 2603V/R 2603V/R,335,748,0
Streptococcus agalactiae 874391,337,1298,0
Streptococcus agalactiae A909 A909,335,748,0
Streptococcus agalactiae C001,355,1263,0
Streptococcus agalactiae CNCTC 10/84 CNCTC 10/84,309,1267,0
Streptococcus agalactiae COH1 COH1,335,748,0
Streptococcus agalactiae CUGBS591,373,1312,0
Streptococcus agalactiae CU_GBS_08,315,1300,0
Streptococcus agalactiae CU_GBS_98,304,1256,0
Streptococcus agalactiae FDAARGOS_254,381,1284,0
Streptococcus agalactiae FWL1402,322,1263,0
Streptococcus agalactiae GBS ST-1,325,1351,0
Streptococcus agalactiae GBS-M002,325,1271,0
Streptococcus agalactiae GBS1-NY,381,1307,0
Streptococcus agalactiae GBS2-NM,412,1316,0
Streptococcus agalactiae GBS6,391,1311,0
Streptococcus agalactiae GBS85147,301,1229,0
Streptococcus agalactiae GD201008-001 GD201008-001,321,1263,0
Streptococcus agalactiae GX026,268,1135,0
Streptococcus agalactiae H002,307,1285,0
Streptococcus agalactiae HN016,312,1246,0
Streptococcus agalactiae ILRI005 ILRI005,311,1334,0
Streptococcus agalactiae ILRI112 ILRI112,305,1293,0
Streptococcus agalactiae NEM316 NEM316,1009,2609,0
Streptococcus agalactiae NGBS061,350,1324,0
Streptococcus agalactiae NGBS128,0,5,0
Streptococcus agalactiae NGBS357,335,1311,0
Streptococcus agalactiae NGBS572,333,1283,0
Streptococcus agalactiae S13,381,1284,0
Streptococcus agalactiae S25,980,1279,0
Streptococcus agalactiae SA20,286,1119,0
Streptococcus agalactiae SG-M1,326,1286,0
Streptococcus agalactiae SG-M158,326,1286,0
Streptococcus agalactiae SG-M163,326,1296,0
Streptococcus agalactiae SG-M25,382,1276,0
Streptococcus agalactiae SG-M29,330,1304,0
Streptococcus agalactiae SG-M4,296,1243,0
Streptococcus agalactiae SG-M50,326,1294,0
Streptococcus agalactiae SG-M6,303,1262,0
Streptococcus agalactiae SG-M8,346,1318,0
Streptococcus agalactiae SS1,305,1277,0
Streptococcus agalactiae Sag158,331,1243,0
Streptococcus agalactiae Sag37,360,1307,0
Streptococcus agalactiae WC1535,350,1293,0
Streptococcus anginosus C1051 C1051,299,841,0
Streptococcus anginosus C238 C238,332,1129,0
Streptococcus anginosus J4206,286,932,0
Streptococcus anginosus J4211,275,832,0
Streptococcus anginosus SA1,291,850,0
Streptococcus anginosus subsp. whileyi MAS624 MAS624,316,959,0
Streptococcus constellatus subsp. pharyngis C1050 C1050,266,931,0
Streptococcus constellatus subsp. pharyngis C232 C232,249,894,0
Streptococcus constellatus subsp. pharyngis C818 C818,250,903,0
Streptococcus cristatus AS 1.3089 AS 1.3089,360,830,0
Streptococcus dysgalactiae subsp. equisimilis 167 167,334,751,0
Streptococcus dysgalactiae subsp. equisimilis AC-2713 AC-2713,357,797,0
Streptococcus dysgalactiae subsp. equisimilis ATCC 12394 ATCC 12394,359,776,0
Streptococcus dysgalactiae subsp. equisimilis GGS_124 GGS_124,335,748,0
Streptococcus dysgalactiae subsp. equisimilis RE378 RE378,347,791,0
Streptococcus equi subsp. equi 4047 4047,651,828,0
Streptococcus equi subsp. equi ATCC 39506,662,842,0
Streptococcus equi subsp. zooepidemicus ATCC 35246 ATCC 35246,678,801,0
Streptococcus equi subsp. zooepidemicus CY CY,630,755,0
Streptococcus equi subsp. zooepidemicus H70,664,769,0
Streptococcus equi subsp. zooepidemicus MGCS10565 MGCS10565; ATCC BAA1716,624,752,0
Streptococcus equinus FDAARGOS_251,31,180,0
Streptococcus gallolyticus ICDDRB-NRC-S1,221,963,0
Streptococcus gallolyticus UCN34 UCN34,235,1035,0
Streptococcus gallolyticus subsp. gallolyticus ATCC 43143 ATCC 43143,212,1058,0
Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069 ATCC BAA-2069,226,1043,0
Streptococcus gallolyticus subsp. gallolyticus DSM 16831 DSM 16831,238,1148,0
Streptococcus gordonii FDAARGOS_257,358,862,0
Streptococcus gordonii FDAARGOS_371,341,809,0
Streptococcus gordonii IE35,361,904,0
Streptococcus gordonii KCOM 1506 (= ChDC B679),375,840,0
Streptococcus gordonii str. Challis substr. CH1 Challis substr. CH1,359,925,0
Streptococcus halotolerans HTS9,306,885,0
Streptococcus himalayensis HTS2,440,775,0
Streptococcus infantarius ICDDRB-NRC-S5,153,730,0
Streptococcus infantarius subsp. infantarius CJ18 CJ18,171,825,0
Streptococcus iniae 89353,281,956,0
Streptococcus iniae ISET0901,276,946,0
Streptococcus iniae ISNO,283,950,0
Streptococcus iniae QMA0248,291,957,0
Streptococcus iniae SF1 SF1,371,718,0
Streptococcus iniae YSFST01-82,284,946,0
Streptococcus intermedius B196 B196,251,1030,0
Streptococcus intermedius C270 C270,246,982,0
Streptococcus intermedius FDAARGOS_233,273,981,0
Streptococcus intermedius JTH08 JTH08,301,997,0
Streptococcus intermedius KCOM 1545,232,972,0
Streptococcus intermedius TYG1620,301,1034,0
Streptococcus lutetiensis 033 033,173,756,0
Streptococcus macedonicus ACA-DC 198 ACA-DC 198,217,972,0
Streptococcus marmotae HTS5,0,2,0
Streptococcus merionis NCTC13788,388,750,0
Streptococcus mitis B6 B6,334,751,0
Streptococcus mitis KCOM 1350 (= ChDC B183),322,667,0
Streptococcus mitis SVGS_061,404,824,0
Streptococcus mutans GS-5 GS-5,254,1163,0
Streptococcus mutans LJ23 LJ23,262,1082,0
Streptococcus mutans NG8,256,1114,0
Streptococcus mutans NN2025 NN2025,241,1146,0
Streptococcus mutans UA159 UA159,1009,2609,0
Streptococcus mutans UA159-FR UA159-FR,256,1149,0
Streptococcus oralis FDAARGOS_367,391,658,0
Streptococcus oralis S.MIT/ORALIS-351,331,633,0
Streptococcus oralis Uo5 Uo5,372,603,0
Streptococcus oralis subsp. tigurinus osk_001,321,583,0
Streptococcus pantholopis TA 26,475,992,0
Streptococcus parasanguinis ATCC 15912 ATCC 15912,316,959,0
Streptococcus parasanguinis FW213 FW213,421,686,0
Streptococcus parauberis KCTC 11537 KCTC 11537,185,1259,0
Streptococcus pasteurianus ATCC 43144 ATCC 43144,215,934,0
Streptococcus pneumoniae 670-6B 670-6B,368,831,0
Streptococcus pneumoniae 70585 70585,390,782,0
Streptococcus pneumoniae A66,351,736,0
Streptococcus pneumoniae AP200 AP200,363,821,0
Streptococcus pneumoniae ATCC 700669 ATCC 700669,366,861,0
Streptococcus pneumoniae CGSP14 CGSP14,335,748,0
Streptococcus pneumoniae D39 D39,335,748,0
Streptococcus pneumoniae G54 G54,335,748,0
Streptococcus pneumoniae Hungary19A-6 Hungary19A-6,419,817,0
Streptococcus pneumoniae INV104 INV104,404,823,0
Streptococcus pneumoniae INV200 INV200,371,805,0
Streptococcus pneumoniae JJA JJA,384,772,0
Streptococcus pneumoniae KK0981,374,794,0
Streptococcus pneumoniae NCTC7465,381,870,0
Streptococcus pneumoniae NT_110_58,373,875,0
Streptococcus pneumoniae OXC141 OXC141,377,749,0
Streptococcus pneumoniae P1031 P1031,386,752,0
Streptococcus pneumoniae R6 R6,256,1142,0
Streptococcus pneumoniae SP49,398,779,0
Streptococcus pneumoniae SP61,365,743,0
Streptococcus pneumoniae SP64,349,736,0
Streptococcus pneumoniae SPN032672 SPN032672,435,840,0
Streptococcus pneumoniae SPN033038 SPN033038,430,829,0
Streptococcus pneumoniae SPN034156 SNP034156,369,723,0
Streptococcus pneumoniae SPN034183 SNP034183,383,738,0
Streptococcus pneumoniae SPN994038 SNP994038,381,728,0
Streptococcus pneumoniae SPN994039 SNP994039,381,733,0
Streptococcus pneumoniae SPNA45 A45,455,811,0
Streptococcus pneumoniae ST556 ST556,413,778,0
Streptococcus pneumoniae SWU02,375,761,0
Streptococcus pneumoniae TCH8431/19A TCH8431/19A,358,762,0
Streptococcus pneumoniae Taiwan19F-14 Taiwan19F-14,398,756,0
Streptococcus pneumoniae gamPNI0373 gamPNI0373,344,736,0
Streptococcus pseudopneumoniae IS7493 IS7493,3,5,0
Streptococcus pyogenes 1E1,323,761,0
Streptococcus pyogenes 5448,314,686,0
Streptococcus pyogenes 7F7,294,706,0
Streptococcus pyogenes A20 A20,312,773,0
Streptococcus pyogenes AP1,314,686,0
Streptococcus pyogenes AP53,311,775,0
Streptococcus pyogenes ATCC 19615,312,809,0
Streptococcus pyogenes Alab49 Alab49,299,767,0
Streptococcus pyogenes D471,336,774,0
Streptococcus pyogenes FDAARGOS_149,296,693,0
Streptococcus pyogenes GUR,990,746,0
Streptococcus pyogenes GURSA1,343,728,0
Streptococcus pyogenes H293,293,719,0
Streptococcus pyogenes HKU360,326,819,0
Streptococcus pyogenes HKU488,323,817,0
Streptococcus pyogenes HSC5 HSC5,309,776,0
Streptococcus pyogenes HarveyGAS,302,777,0
Streptococcus pyogenes JMUB1235,297,730,0
Streptococcus pyogenes JRS4 JRS4,305,721,0
Streptococcus pyogenes M1 476 M1 476,304,751,0
Streptococcus pyogenes M1 GAS SF370,336,774,0
Streptococcus pyogenes M23ND,305,677,0
Streptococcus pyogenes M28PF1,339,739,0
Streptococcus pyogenes M3-b,371,718,0
Streptococcus pyogenes MEW123,331,730,0
Streptococcus pyogenes MEW427,314,756,0
Streptococcus pyogenes MGAS10270 MGAS10270,335,748,0
Streptococcus pyogenes MGAS10394 MGAS10394,335,748,0
Streptococcus pyogenes MGAS10750 MGAS10750,335,748,0
Streptococcus pyogenes MGAS15252 MGAS15252,298,746,0
Streptococcus pyogenes MGAS1882 MGAS1882,303,775,0
Streptococcus pyogenes MGAS2096 MGAS2096,335,748,0
Streptococcus pyogenes MGAS23530,295,717,0
Streptococcus pyogenes MGAS27061,291,730,0
Streptococcus pyogenes MGAS315 MGAS315,1009,2609,0
Streptococcus pyogenes MGAS5005 MGAS5005,335,748,0
Streptococcus pyogenes MGAS6180 MGAS6180,335,748,0
Streptococcus pyogenes MGAS8232 MGAS8232,335,748,0
Streptococcus pyogenes MGAS9429 MGAS9429,335,748,0
Streptococcus pyogenes MTB313,286,744,0
Streptococcus pyogenes MTB314,305,751,0
Streptococcus pyogenes NCTC8198,346,803,0
Streptococcus pyogenes NGAS327,288,653,0
Streptococcus pyogenes NGAS596,291,702,0
Streptococcus pyogenes NS53,3,12,0
Streptococcus pyogenes SSI-1 SSI-1,335,748,0
Streptococcus pyogenes STAB09014,307,786,0
Streptococcus pyogenes STAB090229,310,785,0
Streptococcus pyogenes STAB10015,311,843,0
Streptococcus pyogenes STAB120304,340,802,0
Streptococcus pyogenes STAB14018,335,799,0
Streptococcus pyogenes STAB901 STAB901,321,768,0
Streptococcus pyogenes STAB902 STAB902,375,723,0
Streptococcus pyogenes str. Manfredo Manfredo,333,724,0
Streptococcus salivarius 57.I 57.I,364,858,0
Streptococcus salivarius ATCC 27945,340,788,0
Streptococcus salivarius CCHSS3 CCHSS3,342,868,0
Streptococcus salivarius FDAARGOS_259,388,857,0
Streptococcus salivarius HSISS4,334,758,0
Streptococcus salivarius JF,352,792,0
Streptococcus salivarius JIM8777 JIM8777,338,825,0
Streptococcus salivarius NCTC 8618,388,857,0
Streptococcus sanguinis SK36 SK36,335,748,0
Streptococcus sp. 'group B' FDAARGOS_229,321,1306,0
Streptococcus sp. A12 A12,420,527,0
Streptococcus sp. FDAARGOS_192 FDAARGOS_192,339,810,0
Streptococcus sp. I-G2 I-G2,446,546,0
Streptococcus sp. I-P16 ,445,569,0
Streptococcus sp. NPS 308 NPS 308,361,603,0
Streptococcus sp. VT 162 VT 162,381,634,0
Streptococcus suis 05HAS68 05HAS68,496,749,0
Streptococcus suis 05ZYH33 05ZYH33,335,748,0
Streptococcus suis 6407 6407,407,816,0
Streptococcus suis 90-1330,2,2,0
Streptococcus suis 98HAH33 98HAH33,335,748,0
Streptococcus suis A7 A7,339,692,0
Streptococcus suis BM407 BM407,316,959,0
Streptococcus suis CS100322,397,719,0
Streptococcus suis D12 D12,409,712,0
Streptococcus suis D9 D9,403,746,0
Streptococcus suis DN13,448,716,0
Streptococcus suis GZ0565,445,738,0
Streptococcus suis GZ1 GZ1,344,678,0
Streptococcus suis HA0609,443,771,0
Streptococcus suis JS14 JS14,392,723,0
Streptococcus suis LS9N,0,0,0
Streptococcus suis LSM102,346,709,0
Streptococcus suis NSUI002,427,759,0
Streptococcus suis NSUI060,2,5,0
Streptococcus suis P1/7 P1/7,6,28,0
Streptococcus suis S735 S735,337,661,0
Streptococcus suis SC070731 SC070731,398,723,0
Streptococcus suis SC19,356,732,0
Streptococcus suis SC84 SC84,353,727,0
Streptococcus suis SS12 SS12,345,723,0
Streptococcus suis SS2-1,352,730,0
Streptococcus suis ST1 ST1,383,680,0
Streptococcus suis ST3 ST3,385,685,0
Streptococcus suis T15 T15,451,783,0
Streptococcus suis TL13 TL13,400,679,0
Streptococcus suis YB51 YB51,391,688,0
Streptococcus suis ZY05719,351,736,0
Streptococcus thermophilus ACA-DC 2,247,729,0
Streptococcus thermophilus APC151,267,804,0
Streptococcus thermophilus ASCC 1275 ASCC 1275,275,812,0
Streptococcus thermophilus B59671,273,787,0
Streptococcus thermophilus CNRZ1066 CNRZ1066,335,748,0
Streptococcus thermophilus CS8,278,839,0
Streptococcus thermophilus JIM 8232 JIM 8232,300,867,0
Streptococcus thermophilus KLDS 3.1003,283,881,0
Streptococcus thermophilus KLDS SM,280,814,0
Streptococcus thermophilus LMD-9 LMD-9,335,748,0
Streptococcus thermophilus LMG 18311 LMG 18311,335,748,0
Streptococcus thermophilus MN-BM-A01,258,857,0
Streptococcus thermophilus MN-BM-A02,268,813,0
Streptococcus thermophilus MN-ZLW-002 MN-ZLW-002,254,834,0
Streptococcus thermophilus ND03 ND03,271,819,0
Streptococcus thermophilus ND07,300,899,0
Streptococcus thermophilus S9,11,30,0
Streptococcus thermophilus SMQ-301,274,851,0
Streptococcus thermophilus ST3,275,834,0
Streptococcus troglodytae TKU 31,251,1174,0
Streptococcus uberis 0140J 0140J,225,876,0
[Haemophilus] ducreyi FDAARGOS_297,64,723,0
[Haemophilus] ducreyi GHA1,54,673,0
[Haemophilus] ducreyi GHA2,60,675,0
[Haemophilus] ducreyi GHA3,70,724,0
[Haemophilus] ducreyi GHA5,57,702,0
[Haemophilus] ducreyi GHA8,72,732,0
[Haemophilus] ducreyi GHA9,64,752,0
[Haemophilus] ducreyi VAN1,69,687,0
[Haemophilus] ducreyi VAN2,54,680,0
[Haemophilus] ducreyi VAN3,66,698,0
[Haemophilus] ducreyi VAN4,58,684,0
[Haemophilus] ducreyi VAN5,59,666,0
[Haemophilus] parasuis CL120103,84,614,0
[Haemophilus] parasuis KL0318,89,572,0
[Haemophilus] parasuis SC1401,103,632,0
[Haemophilus] parasuis SH03,103,580,0
1,3,0,1
10,4,1,1
11,3,3,1
12,0,0,1
13,0,3,1
14,3,0,1
15,1,1,1
16,0,0,1
17,0,0,1
18,3,0,1
19,6,1,1
2,1,0,1
20,0,1,1
21,4,1,1
22,5,0,1
23,14,109,1
24,602,10,1
25,602,10,1
3,2,1,1
4,6,0,1
5,0,1,1
6,2,0,1
7,2,3,1
8,3,1,1
9,8,0,1
X,602,10,1
Y,602,10,1
